id,name,price,category,keyword
1,Áo thun cotton Basic,150000,Thời trang,áo
2,Quần jeans Slimfit Nam,350000,Thời trang,quần
3,Giày thể thao Sneaker Pro,650000,Giày dép,giày
4,Tai nghe không dây TrueWireless,450000,Điện tử,tai nghe
5,Bàn phím cơ RGB TKL,850000,Điện tử,bàn phím
6,Chuột gaming không dây Ultra,520000,Điện tử,chuột
7,Bình giữ nhiệt Inox 500ml,180000,Gia dụng,bình
8,Balo laptop chống nước,290000,Phụ kiện,balo
9,Đồng hồ thông minh SmartWatch V2,1200000,Điện tử,đồng hồ
10,Sạc dự phòng 20000mAh PD,390000,Điện tử,sạc
11,Nồi chiên không dầu 5L,990000,Gia dụng,nồi chiên
12,Ốp lưng iPhone chống sốc,65000,Phụ kiện,ốp lưng
13,Sách Clean Code tiếng Việt,210000,Sách,sách
14,Đèn bàn học LED cảm ứng,195000,Gia dụng,đèn
15,Áo khoác gió thể thao,420000,Thời trang,áo khoác
